Provinsi / Kabupaten / Kota,,
,Indeks Pemberdayaan Gender (IDG),
MANOKWARI,71.36,74.12
SORONG SELATAN,63.39,69.59
SORONG,60.05,59.91
RAJA AMPAT,53.35,53.96
TAMBRAUW,38.64,40.03
MAYBRAT,45.34,45.08
MANOKWARI SELATAN,63.66,63.86
PEGUNUNGAN ARFAK,45.09,38.21
KOTA SORONG,69.67,69.89
PAPUA,68.66,65.7
MERAUKE,59.71,58.74
JAYAWIJAYA,63.84,65.63
JAYAPURA,69.5,70.2
NABIRE,62.56,72.41
KEPULAUAN YAPEN,64.65,68.76
BIAK NUMFOR,69.84,70.71
PANIAI,67.32,40.2
PUNCAK JAYA,60.9,38.72
MIMIKA,54.74,51.06
BOVEN DIGOEL,55.83,52.35
MAPPI,52.82,56.55
ASMAT,78.16,73.68
YAHUKIMO,49.6,53.31
PEGUNUNGAN BINTANG,28.7,49.53
TOLIKARA,57.32,41.47
SARMI,68.85,70.35
KEEROM,54.04,63.87
WAROPEN,50.86,55.92
SUPIORI,63.21,64.18
MAMBERAMO RAYA,55.13,54.83
NDUGA,45.14,42.56
LANNY JAYA,47.98,27.24
MAMBERAMO TENGAH,49.34,52.77
YALIMO,50.98,44.15
PUNCAK,46.22,46.45
DOGIYAI,48.32,51.83
INTAN JAYA,31.41,35.89
DEIYAI,48.7,49.7
KOTA JAYAPURA,75.55,77.65
INDONESIA,76.59,76.9
