Provinsi/Kabupaten/Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,2016,2017.0,2018.0
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,2016,2017.0,2018.0
,2022,2023.0,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
Wonogiri,91.73,92.11,91.41,91.08,91.07,-,90.7,91.13
Karanganyar,97.03,97.29,96.48,96.52,96.63,-,96.5,96.61
Sragen,92.24,92.49,91.4,91.62,91.68,-,91.89,92.27
Grobogan,86.18,86.23,85.98,86.14,85.89,-,85.69,85.81
Blora,84.92,85.68,83.96,83.88,84.59,-,83.55,83.79
Rembang,87.6,87.68,86.85,87.0,87.32,-,86.18,86.49
Pati,92.42,92.49,91.6,91.5,92.21,-,91.98,91.5
Kudus,93.56,93.83,92.9,92.75,92.96,-,92.68,92.89
Jepara,91.44,91.53,90.91,90.99,91.28,-,90.39,90.66
Demak,91.3,91.17,90.57,90.9,91.16,-,90.45,90.4
Semarang,96.6,96.64,96.4,96.38,96.61,-,96.48,96.35
Temanggung,95.99,96.19,95.1,95.31,95.74,-,96.0,95.62
Kendal,93.79,94.29,92.85,93.19,93.3,-,93.25,92.96
Batang,91.88,92.48,91.08,91.47,91.86,-,90.49,90.65
Pekalongan,92.72,92.83,92.58,92.48,92.56,-,92.68,92.87
Pemalang,86.72,87.14,85.81,85.83,86.49,-,85.47,85.49
Tegal,88.22,88.64,86.74,86.79,87.53,-,87.52,86.95
Brebes,87.19,87.13,86.35,86.36,86.65,-,85.86,86.24
Kota Magelang,95.91,96.43,95.51,95.27,95.54,-,96.26,96.07
Kota Surakarta,96.84,97.15,96.72,96.84,96.89,-,96.74,96.82
