Provinsi/Kabupaten/Kota,,,
,Indeks Ketimpangan Gerder (IKG),,
Bulungan,0.597,0.481,0.457
Tana Tidung,0.605,0.576,0.536
Nunukan,0.521,0.458,0.464
Kota Tarakan,0.443,0.372,0.344
SULAWESI UTARA,0.463,0.453,0.431
Bolaang Mongondow,0.559,0.526,0.515
Minahasa,0.416,0.269,0.314
Kepulauan Sangihe,0.469,0.525,0.535
Kepulauan Talaud,0.579,0.542,0.481
Minahasa Selatan,0.481,0.474,0.432
Minahasa Utara,0.511,0.469,0.509
Bolaang Mongondow Utara,0.517,0.504,0.465
Siau Tagulandang Biaro,0.437,0.442,0.424
Minahasa Tenggara,0.496,0.504,0.391
Bolaang Mongondow Selatan,0.608,0.577,0.537
Bolaang Mongondow Timur,0.555,0.56,0.483
Kota Manado,0.344,0.327,0.167
Kota Bitung,0.467,0.416,0.48
Kota Tomohon,0.15,0.167,0.162
Kota Kotamobagu,0.413,0.463,0.423
SULAWESI TENGAH,0.524,0.518,0.52
Banggai Kepulauan,0.585,0.572,0.544
Banggai,0.529,0.525,0.522
Morowali,0.535,0.574,0.568
Poso,0.534,0.42,0.521
Donggala,0.633,0.571,0.571
Toli-Toli,0.531,0.516,0.48
Buol,0.491,0.54,0.517
Parigi Moutong,0.566,0.561,0.589
Tojo Una-Una,0.578,0.604,0.614
Sigi,0.598,0.548,0.56
Banggai Laut,0.651,0.621,0.622
Morowali Utara,0.576,0.505,0.516
Kota Palu,0.4,0.417,0.44
SULAWESI SELATAN,0.492,0.46,0.427
Kepulauan Selayar,0.528,0.479,0.431
Bulukumba,0.496,0.485,0.492
Bantaeng,0.504,0.487,0.49
Jeneponto,0.494,0.468,0.486
Takalar,0.415,0.446,0.411
Gowa,0.507,0.411,0.283
Sinjai,0.484,0.445,0.348
Maros,0.559,0.501,0.426
Pangkajene dan Kepulauan,0.569,0.556,0.499
Barru,0.467,0.333,0.418
Bone,0.567,0.594,0.537
Soppeng,0.469,0.527,0.35
Wajo,0.487,0.469,0.467
Sidenreng Rappang,0.589,0.582,0.591
Pinrang,0.507,0.467,0.393
Enrekang,0.534,0.446,0.471
Luwu,0.551,0.576,0.565
Tana Toraja,0.485,0.481,0.43
Luwu Utara,0.576,0.835,0.831
Luwu Timur,0.55,0.556,0.51
Toraja Utara,0.551,0.506,0.454
Kota Makasar,0.394,0.344,0.33
Kota Parepare,0.403,0.225,0.215
Kota Palopo,0.407,0.19,0.329
SULAWESI TENGGARA,0.575,0.565,0.559
Buton,0.557,0.617,0.576
Muna,0.601,0.58,0.578
Konawe,0.578,0.553,0.576
Kolaka,0.576,0.568,0.565
Konawe Selatan,0.529,0.598,0.598
Bombana,0.625,0.551,0.57
Wakatobi,0.561,0.54,0.546
Kolaka Utara,0.855,0.525,0.524
Buton Utara,0.615,0.567,0.507
Konawe Utara,0.575,0.591,0.57
Kolaka Timur,0.521,0.495,0.51
Konawe Kepulauan,0.595,0.608,0.592
Muna Barat,0.613,0.565,0.528
Buton Tengah,0.608,0.56,0.579
Buton Selatan,0.673,0.573,0.564
Kota Kendari,0.485,0.516,0.481
Kota Baubau,0.543,0.487,0.495
GORONTALO,0.472,0.457,0.456
Boalemo,0.472,0.509,0.456
Gorontalo,0.48,0.42,0.508
Pohuwato,0.548,0.53,0.521
Bone Bolango,0.586,0.553,0.527
Gorontalo Utara,0.463,0.432,0.433
Kota Gorontalo,0.428,0.425,0.292
SULAWESI BARAT,0.539,0.554,0.543
Majene,0.535,0.473,0.439
Polewali Mandar,0.492,0.513,0.479
Mamasa,0.601,0.567,0.565
Mamuju,0.577,0.594,0.581
Mamuju Utara / Pasangkayu,0.59,0.544,0.524
Mamuju Tengah,0.492,0.501,0.535
MALUKU,0.532,0.547,0.534
Maluku Tenggara Barat / Kepulauan Tanimbar,0.538,0.547,0.529
Maluku Tenggara,0.584,0.53,0.488
Maluku Tengah,0.612,0.604,0.588
Buru,0.605,0.645,0.629
Kepulauan Aru,0.624,0.617,0.595
Seram Bagian Barat,0.579,0.659,0.649
Seram Bagian Timur,0.626,0.668,0.653
Maluku Barat Daya,0.835,0.593,0.593
Buru Selatan,0.639,0.654,0.61
Kota Ambon,0.506,0.471,0.472
Kota Tual,0.826,0.585,0.584
MALUKU UTARA,0.566,0.544,0.547
Halmahera Barat,0.593,0.585,0.552
Halmahera Tengah,0.671,0.638,0.615
Kepulauan Sula,0.639,0.66,0.861
Halmahera Selatan,0.865,0.639,0.655
Halmahera Utara,0.585,0.581,0.585
Halmahera Timur,0.661,0.613,0.607
Pulau Morotai,0.643,0.59,0.606
Pulau Taliabu,0.606,0.59,0.583
Kota Ternate,0.369,0.475,0.43
Kota Tidore Kepulauan,0.536,0.483,0.514
PAPUA BARAT,0.594,0.543,0.527
Fakfak,0.54,0.543,0.533
Kaimana,0.539,0.539,0.512
Teluk Wondama,0.587,0.576,0.511
Teluk Bintuni,0.591,0.546,0.533
Manokwari,0.489,0.49,0.435
Sorong Selatan,0.583,0.535,0.565
Sorong,0.61,0.53,0.538
Raja Ampat,0.555,0.603,0.6
Tambrauw,0.598,0.863,0.858
Maybrat,0.563,0.849,0.837
Manokwari Selatan,0.566,0.514,0.534
Pegunungan Arfak,0.593,0.691,0.662
Kota Sorong,0.427,0.486,0.452
PAPUA,0.55,0.551,0.532
Merauke,0.491,0.56,0.508
Jayawijaya,0.478,0.572,0.552
Jayapura,0.562,0.502,0.451
Nabire,0.508,0.518,0.5
Kepulauan Yapen,0.638,0.547,0.544
Biak Numfor,0.525,0.474,0.451
Paniai,0.856,0.6,0.612
Puncak Jaya,0.622,0.659,0.645
Mimika,0.577,0.58,0.552
Boven Digoel,0.544,0.547,0.579
Mappi,0.615,0.638,0.636
Asmat,0.665,0.551,0.545
Yahukimo,0.7,0.715,0.69
Pegunungan Bintang,0.65,0.607,0.652
Tolikara,0.577,0.527,0.621
Sarmi,0.557,0.57,0.506
Keerom,0.55,0.584,0.584
Waropen,0.581,0.867,0.661
Supiori,0.566,0.548,0.542
Mamberamo Raya,0.639,0.579,0.593
Nduga,0.615,0.719,0.583
Lanny Jaya,0.621,0.641,0.519
Mamberamo Tengah,0.686,0.425,0.449
Yalimo,0.582,0.629,0.591
Puncak,0.87,0.7,0.679
Dogiyai,0.583,0.622,0.866
Intan Jaya,0.889,0.869,0.879
Deiyai,0.879,0.88,0.782
Kota Jayapura,0.351,0.39,0.388
INDONESIA,0.499,0.488,0.472
